objname,ra,dec,distance,distance_err
PGC135044,55.457664,-19.5812769,27.34,7.249
NGC3611,169.3756515,4.5555312,27.35,7.471
UGC09597,223.750644,30.8247601,27.357,5.369
UGC08101,194.233296,84.1025278,27.364,6.808
ESO505-016,181.8648195,-27.1432969,27.365,5.417
IC2627,167.4724245,-23.7259824,27.365,5.48
PGC2053650,220.875234,34.7299589,27.365,5.246
IC4536,228.32175,-18.136499,27.367,6.5
ESO508-059,200.47764,-25.4945862,27.373,5.844
PGC3281551,154.5933,0.9369,27.374,7.418
PGC2484987,210.258105,54.9319694,27.377,4.83
UGC06780,177.2100225,-2.0323767,27.378,6.718
SDSSJ140949.96+571329.7,212.4581715,57.2249609,27.38,5.093
PGC029004,150.3100635,37.0706444,27.381,7.784
UGC08851,208.9090785,39.7162719,27.381,4.879
NGC5756,221.8905195,-14.8535836,27.382,6.714
PGC087175,221.6012505,14.2126215,27.388,7.4
ESO582-012,231.5334525,-22.2825264,27.39,6.011
NGC4409,186.743694,2.494399,27.391,6.474
NGC1412,55.1223825,-26.8622504,27.394,7.851
NGC2709,134.053605,-3.2430801,27.395,7.562
NGC3259,158.145234,65.0410942,27.396,7.122
NGC6012,238.5579435,14.601172,27.412,7.749
PGC2661153,198.116757,63.7996148,27.413,5.725
PGC1263785,171.2726355,4.1209962,27.418,7.223
SDSSJ104630.44+274156.2,161.626896,27.6989434,27.428,7.98
ABELL0160:[PBL2000]0231,18.2503185,15.5309391,27.436,5.119
ESO433-010,138.7699215,-28.2631706,27.436,7.214
SDSSJ154624.57+042920.5,236.6023575,4.4890846,27.437,7.946
SDSSJ095435.70+042307.8,148.648785,4.3855436,27.438,7.642
UGC07995,192.492915,78.384167,27.441,6.765
UGC04551,131.024583,49.7939042,27.442,5.951
SDSSJ110324.72+634023.4,165.8530635,63.6731473,27.444,6.325
ESO566-002,145.8203745,-19.8721111,27.452,6.849
SDSSJ075801.43+234824.2,119.5061325,23.8067367,27.453,6.368
ESO508-052,200.1803535,-25.2477495,27.46,5.848
PGC1011395,49.62084,-7.8920919,27.46,6.324
UGC06241,168.0162555,28.4863609,27.468,7.215
PGC1035577,49.2613935,-6.205794,27.471,6.272
UGC08743,207.3251835,58.6637474,27.471,5.445
ESO580-021,221.455716,-20.8101299,27.473,6.308
[KHL2017]S5065,187.7085405,12.40248,27.474,6.287
NGC7448,345.0153135,15.9801923,27.475,4.753
SDSSJ113052.64+425621.6,172.7193345,42.9393845,27.477,5.945
PGC082344,137.9387895,35.405115,27.478,7.163
PGC2800884,203.6710035,-35.0356955,27.482,5.039
ESO489-033,94.5432,-24.9206331,27.484,6.26
ESO553-017,77.800041,-19.6130833,27.486,6.046
ESO548-044,53.5802055,-19.4243918,27.487,7.333
UGC04659,133.6686735,47.1047021,27.492,6.355
ESO440-049,181.391766,-31.4235387,27.498,5.111
ESO554-028,85.8122985,-18.6421801,27.499,5.916
NGC3021,147.7381215,33.5535186,27.5,1.1
PGC3090042,1.1307495,19.625,27.5,4.965
NGC3543,167.7351645,61.3467955,27.507,5.899
ESO432-013,134.114805,-31.9839376,27.517,6.822
SDSSJ114108.79+365001.8,175.2866325,36.8338574,27.517,6.347
UGC04348,128.501886,85.9447041,27.517,6.882
PGC763675,199.8895815,-26.8028925,27.522,5.822
PGC1645749,124.950783,21.235828,27.525,6.413
ESO489-023,93.871134,-22.6027042,27.526,5.95
PGC024625,131.4585555,-17.5324885,27.526,7.332
UGC00871,20.1001725,5.8273095,27.536,6.035
NGC2300,113.085333,85.7088611,27.545,6.515
ESO514-003,229.6498065,-24.1199375,27.546,5.94
ESO490-031,100.591791,-26.8930972,27.549,6.507
PGC1164263,172.3443825,0.37204,27.556,7.008
PGC972575,27.5259705,-10.8838422,27.556,7.415
SDSSJ140758.48+505148.8,211.993134,50.8635224,27.557,4.822
UGC06531,173.2050375,39.0849305,27.564,6.401
PGC012868,51.7445325,72.85621,27.567,4.704
PGC787555,229.6126515,-24.6548419,27.57,5.941
PGC3266312,174.5879835,-3.1044502,27.571,6.957
PGC2302994,159.6071085,47.7101383,27.576,6.751
PGC198559,335.3446245,-31.4287778,27.583,6.474
PGC023834,127.4114565,52.0763829,27.584,5.498
PGC990458,141.368784,-9.485694,27.584,7.431
ESO548-043,53.5438755,-19.5582778,27.588,7.295
PGC3289704,177.378648,-0.0254637,27.589,6.708
PGC1407849,170.7110835,12.3448591,27.593,7.653
PGC052212,219.1705845,11.5769146,27.598,7.406
PGC138508,33.0966465,13.207927,27.606,4.687
PGC1263558,168.480063,4.1051993,27.608,7.435
PGC826105,164.2912875,-21.6034003,27.613,5.389
PGC2575583,214.627668,58.1841104,27.614,5.403
NGC1383,54.4134735,-18.3394171,27.615,7.265
NGC4965,196.7890635,-28.228134,27.616,5.689
PGC048726,206.20875,59.4238062,27.616,5.52
UGC12308,345.3279045,14.3395871,27.62,4.904
PGC024494,130.8436755,-17.3867738,27.628,7.301
IC0760,181.473,-29.2920556,27.63,5.224
SDSSJ134837.68+584835.5,207.156891,58.8098357,27.637,5.496
PGC742978,196.4750985,-28.3329758,27.638,5.668
PGC027260,143.8349085,-8.8099981,27.64,7.115
ESO404-018,330.2923095,-32.5784507,27.644,6.597
SDSSJ140432.07+511405.0,211.133658,51.2347522,27.647,4.882
PGC033816,167.346975,10.8340719,27.652,7.77
PGC1234729,170.012823,2.6896754,27.66,7.185
SDSSJ091312.36+332639.8,138.3014985,33.444419,27.66,7.298
PGC3085824,166.8250005,61.5241667,27.662,5.904
PGC049221,207.973281,64.3728386,27.663,5.576
NGC7347,339.9841575,11.027572,27.664,5.013
PGC050551,212.4788775,56.8226168,27.665,5.17
NGC3361,161.1215625,-11.2078712,27.669,6.932
PGC005023,20.72625,8.8548015,27.672,5.67
UGC05990,163.1598225,34.4829984,27.672,7.533
PGC090973,150.4793895,63.8926501,27.68,7.06
PGC037667,179.5742805,-14.7332935,27.685,6.218
NGC2848,140.041263,-16.5259717,27.689,7.814
PGC026905,142.2470145,-14.8075464,27.689,7.796
PGC049521,208.9391745,-6.0022185,27.695,6.852
ESO569-014,162.850275,-19.8907914,27.696,5.534
PGC3218711,329.63565,-27.6007,27.698,6.447
UGC08894,209.4486915,63.397054,27.699,5.571
NGC5812,225.2320425,-7.4572788,27.7,1.79
PGC008295,32.5625325,-9.7085006,27.703,7.229
ESO554-038,87.1493955,-18.6702222,27.706,5.915
PGC062055,278.502765,49.372501,27.708,4.273
SDSSJ102023.90+632620.9,155.1005041,63.4395387,27.711,7.069
ESO487-020,83.0992305,-25.2315181,27.722,6.746
PGC083270,159.3453285,-35.3602994,27.726,4.531
NGC2805,140.0849025,64.1029681,27.727,6.487
UGC08737,207.0695175,68.0849644,27.728,5.989
NGC2852,140.8107285,40.1638436,27.73,6.927
NGC5379,208.893033,59.7428209,27.735,5.516
UGC06169,166.7640195,12.0601076,27.735,7.764
PGC135639,22.6209135,2.8316205,27.746,6.158
PGC2366568,210.3112425,50.2231023,27.747,5.019
PGC041802,188.5621665,2.2964434,27.748,6.187
[KHL2017]UCD42,187.486032,12.3253857,27.751,6.252
SDSSJ142632.39+331221.0,216.6349834,33.20581583,27.766,5.337
PGC2020885,138.7033785,33.0209449,27.767,7.356
UGC03540,103.646187,82.4791142,27.77,6.276
ESO548-032,53.0807235,-17.7186489,27.771,7.352
PGC046256,199.234299,-16.5930521,27.771,6.562
SDSSJ141409.37+544613.5,213.5390655,54.7705033,27.773,4.996
ESO499-022,149.0183175,-27.1067306,27.775,5.659
NGC5443,210.549144,55.8140827,27.783,5.085
UGC05854,161.4853275,77.1022329,27.788,6.735
UGC06027,163.776408,63.993209,27.788,6.369
PGC028923,150.043203,2.1559489,27.79,7.527
PGC030270,155.233746,20.1557406,27.795,7.849
PGC083120,157.587396,-35.5919175,27.796,4.758
PGC2193776,138.204477,42.1776449,27.796,6.604
NGC3755,174.139044,36.410315,27.807,6.536
SDSSJ230424.57+132453.2,346.1024565,13.4147982,27.815,4.997
IC2996,181.4525505,-29.972102,27.821,5.177
PGC027454,144.542784,61.8698982,27.821,6.658
NGC5205,202.5150195,62.5115364,27.826,5.546
WINGSJ125337.41-284056.4,193.4058435,-28.682273,27.829,5.518
PGC091219,190.3705095,-3.2537613,27.83,6.287
UGC08970,210.703926,57.974663,27.834,5.459
PGC213828,170.9433825,38.5823993,27.838,6.666
ESO513-024,228.013521,-25.88703,27.843,5.844
UGC06233,167.8677255,6.9075149,27.844,7.606
SDSSJ105604.27+652454.9,164.017866,65.4152562,27.851,6.692
PGC013743,56.236812,-23.7000088,27.854,7.39
UGC12141,339.56139,80.6772945,27.859,6.272
NGC5161,202.307958,-33.1737973,27.861,5.193
ESO366-011,100.832391,-35.157978,27.862,6.527
IC4231,200.806692,-26.2991814,27.862,5.821
UGC00957,21.101745,3.8821889,27.873,6.269
PGC166094,120.8524905,15.1412473,27.883,6.92
NGC5916,230.4079635,-13.1692496,27.886,7.109
PGC027825,145.869,-5.3655833,27.887,7.476
PGC006667,27.2931135,-10.0611238,27.893,7.344
IC0560,146.4726735,-0.2683088,27.897,7.559
M101Dw10,210.4183333,55.01583333,27.9,1.644
M101Dw11,212.52,54.25805556,27.9,1.644
M101Dw14,212.7633333,53.94722222,27.9,1.644
M101dwB,212.1795833,55.16583333,27.9,1.644
M101dwC,211.325,54.89888889,27.9,1.644
M101dwD,211.1025,53.27194444,27.9,1.644
UGC07767,188.8853745,73.6748333,27.9,1.8
dw1408+56,212.1708333,56.92722222,27.9,1.644
PGC057527,243.370638,-0.8832514,27.904,7.579
PGC085332,343.423863,11.2742236,27.904,5.061
PGC1398872,170.597592,11.7939767,27.91,7.63
ESO443-061,196.4451255,-28.4221667,27.915,5.634
PGC025769,137.332932,33.121321,27.921,7.248
NGC4947,196.3340985,-35.3373948,27.924,5.039
PGC2666144,157.861722,64.2570462,27.931,6.749
NGC7606,349.769874,-8.485097,27.934,6.433
SDSSJ160938.84+451642.6,242.4117825,45.2785365,27.937,4.897
ESO427-014,102.8377605,-29.5929083,27.938,6.614
SDSSJ145444.70+310843.8,223.6862805,31.1455919,27.944,5.532
NGC2212,94.6489815,-18.5194812,27.951,6.007
PGC1278179,185.1672735,5.1050569,27.952,6.431
NGC4127,182.1098745,76.804,27.954,6.948
NGC2781,137.864616,-14.8166036,27.957,7.685
NGC5892,228.450933,-15.4636774,27.962,6.844
NGC2907,142.9025805,-16.7347549,27.963,7.796
PGC2362930,160.7162115,50.1051628,27.964,6.617
UGC12221,342.6095835,82.8769444,27.964,6.435
NGC1138,44.151819,43.0474119,27.97,4.238
PGC835987,330.6646665,-20.8618056,27.971,6.438
PGC3291470,181.7380125,0.6629474,27.972,6.583
PGC083001,157.067574,-35.5338829,27.981,5.111
SDSSJ140754.65+544212.1,211.977756,54.7033908,27.984,5.143
PGC135732,149.6213895,1.6942293,27.987,7.464
PGC757372,19.8453135,-27.275149,27.988,7.999
ESO443-083,198.2321385,-32.6911062,27.994,5.233
PGC1276691,151.7687055,5.0068644,27.999,7.577
NGC5798,224.40813,29.968252,28,5.612
NGC7721,354.7021935,-6.5179905,28,0.13
NGC7723,354.7378755,-12.9610833,28,6.14
PGC042888,191.0301315,70.78977,28,6.785
PGC049735,209.678676,61.862623,28,5.529
PGC048578,205.7160675,52.7084641,28.006,5.234
NGC4527,188.5352505,2.653794,28.01,6.133
PGC083837,198.680775,-16.3828937,28.01,6.404
IC0874,199.752198,-27.6286455,28.018,5.738
UGC09071,212.512785,54.2183551,28.02,5.14
NGC2295,101.847579,-26.7362387,28.021,6.577
UGC00614,14.901,35.5603056,28.024,4.233
PGC2198545,138.0766815,42.4217371,28.035,6.605
PGC100721,101.554725,-28.0637505,28.038,6.511
PGC895717,214.338045,-16.6299926,28.038,6.574
PGC1813510,163.05885,27.6232945,28.042,7.873
NGC3380,162.0507045,28.6018052,28.044,7.959
UGC10370,245.896167,45.7454386,28.048,4.741
IC2763,170.5770855,13.0651037,28.05,7.567
NGC5422,210.175128,55.1644509,28.05,5.271
UGC04385,125.966748,14.7522182,28.05,7.109
PGC1324728,8.050209,7.5516389,28.052,5.935
NGC3187,154.4493525,21.8733281,28.056,7.906
UGC11141,272.9521515,12.0886023,28.058,4.504
UGC03775,108.969,12.1149,28.06,5.923
UGC07968,192.05601,60.2714977,28.062,5.845
IC0499,131.320458,85.7399167,28.063,7.044
PGC135069,52.2928755,-22.0212778,28.063,7.373
NGC2712,134.8769295,44.9139338,28.064,6.517
PGC709645,180.3465495,-31.0635031,28.066,5.103
PGC3288593,169.9748505,0.83869,28.078,7.049
PGC2672385,158.0871735,64.8681871,28.08,6.789
ESO371-026,133.635417,-32.9374722,28.085,6.991
ESO440-038,180.4282785,-31.7037021,28.085,5.085
PGC153352,134.7511425,-18.3841683,28.087,7.45
PGC035516,172.818138,57.0663733,28.088,5.883
PGC1427585,223.226172,13.3002466,28.093,7.492
SDSSJ102225.42+475218.3,155.606064,47.8717807,28.094,6.81
SDSSJ005318.28+145743.5,13.3259173,14.96266362,28.097,5.284
PGC030591,156.3603255,-15.3491491,28.099,6.7
NGC2811,139.046301,-16.3126793,28.1,1.29
NGC5582,215.1796485,39.6935867,28.1,1.81
PGC1838290,172.832685,28.5236356,28.101,6.851
PGC087143,30.3368205,19.9803204,28.102,4.013
NGC3055,148.8252015,4.2699953,28.105,7.431
SDSSJ102621.68+634233.3,156.5903775,63.7093288,28.113,6.544
PGC2079775,174.2276385,36.3878892,28.116,6.479
NGC5188,202.867752,-34.7944068,28.117,5.068
PGC682782,333.944475,-32.9890995,28.119,6.61
PGC2586875,169.22478,59.1328015,28.12,5.854
SDSSJ105909.14+611701.3,164.7880695,61.2837282,28.12,5.91
PGC2561050,172.100553,57.2468243,28.121,5.883
PGC033981,167.7270975,9.6218156,28.122,7.693
PGC166126,183.459534,5.3535587,28.123,6.492
PGC170359,220.6555635,-16.0981644,28.127,6.616
NGC2663,131.28432,-33.7947244,28.134,7.007
PGC716950,181.7066415,-30.4624437,28.136,5.149
IC4254,201.939333,-27.2224444,28.14,5.735
PGC031407,159.017604,-27.5087778,28.144,5.694
ESO428-015,109.285638,-29.3813546,28.147,7.167
UGC00634,15.3546645,7.6258773,28.153,5.952
SDSSJ134140.53+613853.1,205.4188785,61.6481359,28.157,5.528
PGC2591185,211.851084,59.5026364,28.158,5.62
SDSSJ135920.18+394010.0,209.8341495,39.6694279,28.158,4.862
PGC2589926,217.8663435,59.3912422,28.164,5.665
ESO598-017,315.628239,-19.4644012,28.165,5.507
PGC1270208,184.86558,4.5784665,28.169,6.516
PGC048589,205.747521,52.6883732,28.171,5.281
UGC09925,234.132951,16.4402876,28.171,7.949
NGC1359,53.448852,-19.4920265,28.173,7.126
PGC2816084,213.1313835,50.2404666,28.174,5.131
ESO510-058,211.1556045,-24.8330561,28.175,5.939
UGC04524,130.0602075,5.6348661,28.177,7.27
ESO444-004,199.2655005,-31.5890833,28.181,5.314
NGC3712,172.788993,28.5664698,28.182,6.845
PGC074830,54.768642,-18.5321295,28.192,7.13
PGC025903,137.8337865,-15.0484056,28.196,7.747
ESO374-021,150.454419,-33.2615202,28.203,5.613
PGC2573480,217.945407,58.008636,28.203,5.568
SDSSJ140638.13+545947.6,211.658868,54.9965835,28.204,5.32
ESO548-063,54.895023,-20.0148473,28.21,7.026
PGC035564,172.9962015,40.2336316,28.211,6.298
PGC990651,34.0807845,-9.4699933,28.211,7.185
NGC6548,271.4967915,18.5871944,28.214,4.346
PGC135097,56.0106255,-18.4722353,28.217,7.088
PGC1746243,134.502585,25.6978862,28.217,7.491
ESO482-013,54.2244585,-24.91278,28.218,7.607
PGC2590282,209.2777845,59.4231336,28.226,5.638
ESO491-009,103.8548655,-26.6073276,28.237,6.687
PGC1176036,129.8624595,0.8088917,28.241,7.507
ESO428-018,109.3023615,-29.5808787,28.245,7.203
NGC5789,224.1488865,30.2340719,28.248,5.713
UGC10892,262.2669165,74.2578333,28.25,5.653
PGC042553,190.3306275,6.5233589,28.256,6.082
NGC7817,0.995382,20.7523559,28.257,4.881
[KHL2017]S477,187.7496075,12.3003,28.259,6.186
UGC09389,218.8886055,12.9082087,28.26,7.274
PGC1224591,20.0463375,2.365025,28.261,6.528
PGC2816694,151.6309155,-32.0431747,28.263,5.645
PGC1030097,63.2934585,-6.6772083,28.266,5.162
NGC2076,86.6975595,-16.7823802,28.268,5.703
PGC2571376,168.914166,57.8161859,28.272,5.895
NGC4533,188.591772,2.3254512,28.274,6.083
ESO491-010,103.8567945,-26.760043,28.276,6.684
PGC3138619,202.092756,63.6854632,28.277,5.614
PGC2584578,170.4592995,58.9441558,28.283,5.865
PGC092910,152.3224215,5.4037693,28.287,7.54
SDSSJ150107.16+284539.2,225.2798385,28.7608614,28.291,5.708
NGC3904,177.305043,-29.2768395,28.3,1.83
SDSSJ112847.49+564444.3,172.197876,56.7456962,28.303,5.915
SDSSJ133422.76+632654.9,203.594928,63.4485992,28.303,5.57
PGC2506745,210.24264,55.5681401,28.305,5.475
PGC025938,138.028029,-15.4312026,28.306,7.797
PGC2036114,163.0411935,33.6373247,28.307,7.627
UGC09910,233.6869155,31.0533485,28.307,5.823
PGC040048,185.5730835,74.8383889,28.312,7.069
UGC09938,234.299856,30.0771662,28.315,5.886
IC3474,188.1520995,2.6612999,28.317,6.114
ESO489-031,94.3803525,-23.0717978,28.319,6.119
UGC00115,2.695275,88.3348005,28.321,6.508
PGC2138588,222.11514,38.8757622,28.322,5.073
PGC198452,51.473517,-25.8113012,28.326,7.799
PGC135126,63.4314165,-17.4935833,28.33,6.72
PGC1665309,122.9483565,22.192918,28.33,6.585
PGC083026,157.2120375,-35.160514,28.331,5.604
PGC1729964,126.7959165,25.2431618,28.331,6.821
UGC01519,30.570012,19.1797428,28.334,4.04
PGC804232,327.710328,-23.1466948,28.34,6.371
UGC05242,146.772999,0.964343,28.34,7.524
SDSSJ155912.48+444259.2,239.8020435,44.7164614,28.346,5.03
ESO482-035,55.3108725,-23.8388344,28.347,7.369
PGC011968,48.1974585,-5.26825,28.351,5.973
NGC6555,271.954914,17.604687,28.355,4.381
NGC1357,53.321187,-13.6641389,28.356,6.899
IC0114,21.594042,9.9099444,28.358,5.543
SDSSJ155636.84+061138.6,239.153478,6.1940613,28.362,7.79
NGC5377,209.069445,47.2356505,28.365,5.129
PGC4608738,86.098296,-16.4477977,28.365,5.697
SDSSJ012440.79+035125.9,21.16979681,3.85691995,28.366,6.339
PGC981273,27.046815,-10.1877474,28.368,7.317
ESO510-059,211.193061,-24.8270711,28.369,5.914
ESO443-085,198.809031,-32.253855,28.373,5.262
IC4303,204.325773,-28.6580801,28.374,5.497
SDSSJ142547.41+570918.9,216.4481355,57.155385,28.377,5.57
6dFJ2335182-034434,353.825871,-3.7428247,28.379,6.443
UGC06570,173.9582115,35.3352489,28.381,6.539
IC5334,353.6515935,-4.5339735,28.389,6.532
ESO499-012,148.085877,-26.9498044,28.395,6.144
NGC5631,216.638694,56.5826269,28.4,1.84
PGC054817,230.389041,-7.4476667,28.4,1.3
PGC709469,176.1673245,-31.0774115,28.405,5.153
PGC839320,200.400837,-20.6094934,28.405,6.106
SDSSJ090950.81+431823.0,137.461656,43.3063039,28.412,6.574
PGC028878,149.8749345,41.7671003,28.415,7.363
PGC083133,157.632561,-35.2439907,28.424,5.444
UGC05135,144.650718,43.1767728,28.424,6.813
PGC004826,20.092041,1.8884444,28.428,6.568
UGC07387,185.072505,4.2019622,28.433,6.433
PGC050695,212.976711,53.9396139,28.436,5.377
PGC074866,55.0423725,-18.9443003,28.437,7.044
SDSSJ112721.12+501633.3,171.83799,50.2759026,28.437,5.996
NGC3395,162.4587915,32.9828333,28.442,7.704
PGC039468,184.4703555,5.0271277,28.443,6.463
SDSSJ111350.75+095739.4,168.461688,9.9609571,28.444,7.652
ESO437-002,158.7484665,-28.0784055,28.449,6.255
IC0441,90.6778335,-12.4993056,28.449,5.353
UGC05996,163.2393495,40.3784326,28.45,7.045
ESO603-031,344.3601525,-17.8856131,28.455,6.145
NGC3018,147.4226475,0.6211149,28.455,7.476
ESO466-046,330.683493,-31.9906802,28.457,6.745
NGC0509,20.8504095,9.4335335,28.457,5.612
ESO366-009,100.7083125,-35.5722532,28.462,6.502
PGC1039585,175.3265505,-5.8572531,28.464,6.831
SDSSJ105441.75+280731.0,163.6739685,28.1253067,28.464,7.72
NGC0485,20.3650425,7.0181068,28.467,5.886
NGC1266,49.0032315,-2.4273468,28.468,5.4
NGC1169,45.894855,46.3862572,28.472,4.317
PGC2203407,137.7850215,42.6562607,28.477,6.619
PGC1213772,187.460715,2.0316144,28.479,6.188
PGC012608,50.465301,-15.7105587,28.481,7.286
IC2604,162.354456,32.7727539,28.483,7.721
PGC2249769,150.960312,44.6860227,28.483,7.054
NGC7695,353.3125455,-2.7201018,28.486,6.304
SDSSJ110559.59+072225.0,166.498233,7.3736347,28.486,7.617
HIPASSJ0958-29,149.556744,-29.4140266,28.488,5.584
PGC1534834,120.099747,17.5241549,28.491,6.945
ESO513-004,223.8332625,-25.4731178,28.498,5.575
NGC0490,20.5118745,5.36725,28.499,6.23
2MASXJ13551629-2845467,208.8178365,-28.7630156,28.5,5.471
6dFJ0958114-293437,149.547729,-29.576808,28.504,5.559
PGC028894,149.937513,41.676748,28.505,7.375
PGC041631,188.2137165,2.6286749,28.505,6.082
UGC06599,174.426219,24.1325576,28.505,7.019
PGC017621,85.4794875,-12.5623087,28.509,5.599
PGC055327,232.9705035,45.4307196,28.515,4.885
PGC1277283,145.2347715,5.044914,28.52,7.335
PGC090569,28.2920835,20.6730556,28.525,4.199
PGC166160,198.5859915,36.5688472,28.527,4.921
IC2268,124.5273375,24.7964391,28.534,6.58
SDSSJ030149.02-005257.3,45.4542765,-0.8826077,28.534,5.062
PGC2368928,176.276106,50.3007355,28.535,5.844
ESO371-011,131.0918055,-34.6940773,28.536,7.008
PGC2807195,132.0148245,25.3336531,28.539,7.534
PGC2597819,207.0491745,60.0852236,28.54,5.692
PGC037019,177.6514755,-0.567223,28.547,6.715
NGC5389,209.0264205,59.7420061,28.549,5.736
PGC3274227,200.12295,-5.9896,28.554,5.641
UGC11496,298.2579,67.665001,28.557,4.673
NGC3260,157.2768885,-35.5951366,28.56,5.78
PGC025273,135.0555,31.998407,28.562,7.259
PGC1393069,222.594294,11.4038913,28.564,7.653
UGC10095,238.8313515,45.4253724,28.575,5.055
NGC2853,140.822259,40.2000823,28.58,6.99
UGC12300,345.154959,12.78225,28.58,5.029
NGC2644,130.3828155,4.9803368,28.585,7.325
NGC3381,162.1034055,34.7114023,28.585,7.613
PGC1244578,19.96575,3.0765754,28.586,6.49
PGC3260141,160.39635,-3.4415,28.587,6.689
PGC083823,198.585714,-15.883265,28.588,5.495
PGC1145436,147.1763685,-0.3540454,28.589,7.462
PGC983046,346.4844795,-10.0490942,28.59,6.214
NGC5915,230.3877915,-13.0917222,28.592,7.101
UGC09146,214.235145,55.8641371,28.593,5.599
PGC1602771,220.269054,19.7134785,28.598,6.905
UGC06603,174.50889,35.2036374,28.599,6.44
NGC1297,49.809348,-19.1000626,28.6,5.56
PGC142582,37.925742,-23.2645772,28.601,7.818
PGC083935,199.5747855,-16.6405755,28.602,5.661
PGC041761,188.482047,5.718857,28.605,6.106
NGC6570,272.7805995,14.0929616,28.606,4.451
UGC11357,281.99985,45.4417774,28.606,4.189
PGC1761618,126.619989,26.0746774,28.608,6.977
PGC132632,345.804504,-35.4044239,28.613,7.125
PGC027130,143.313705,-16.7678424,28.615,7.824
ESO428-037,112.5765795,-31.598728,28.616,7.677
ESO444-033,201.517773,-32.1293105,28.618,5.277
SDSSJ101930.79+640708.4,154.8783135,64.1190129,28.619,6.369
SDSSJ112504.00+280935.6,171.266715,28.1598972,28.621,6.972
PGC3085814,104.299995,61.191667,28.627,4.703
PGC030005,154.117545,45.3215605,28.628,6.928
UGC07265,183.77025,76.236198,28.63,7.112
AGC225874,188.7831705,12.5055506,28.631,6.103
NGC3281B,157.967391,-35.2049196,28.633,5.565
PGC040408,186.1643415,3.9955141,28.633,6.321
UGC04753,136.14084,45.2920916,28.633,6.465
PGC2215068,150.0240945,43.1929413,28.634,7.312
UGC01546,30.8341245,18.6296111,28.638,4.101
NGC6574,272.9633955,14.9815612,28.641,4.408
ESO381-031,194.5764285,-33.2280541,28.646,5.15
UGC10625,254.3453145,38.6725477,28.655,4.773
PGC2614355,206.0713725,61.2349791,28.657,5.603
PGC2278109,229.6682865,46.2591453,28.66,4.745
PGC025096,134.031474,39.8691168,28.661,6.982
PGC2832084,177.2857545,27.0855383,28.664,6.332
ESO603-005,340.3646115,-19.4847499,28.673,6.335
PGC2281417,207.5209995,46.4504248,28.674,5.122
NGC3273,157.6215645,-35.6105953,28.675,5.749
PGC169963,33.4003245,23.258062,28.675,4.046
PGC101501,207.8795085,39.4547024,28.68,4.808
AGC219539,177.1875,16.7397217,28.681,6.882
SDSSJ031903.37-060653.9,49.7640225,-6.1149504,28.681,5.814
UGC11120,271.7592585,20.4882167,28.687,4.426
ESO404-028,331.063293,-32.6040478,28.689,6.737
UGC11105,271.15005,21.637501,28.69,4.437
ESO439-011,171.92082,-30.8373005,28.695,5.295
UGC04396,128.684448,84.3202036,28.705,7.111
NGC3683,171.882672,56.8770213,28.706,5.941
SDSSJ123634.93+033831.3,189.1455465,3.6421074,28.714,6.005
UGC03053,67.040292,21.6553056,28.716,3.993
PGC896975,213.3482715,-16.5297402,28.728,6.558
SDSSJ140049.96+493059.8,210.2080905,49.5165406,28.728,5.287
PGC041712,188.360436,6.6165943,28.731,6.119
UGC04297,127.120365,85.6080267,28.737,7.049
PGC1013851,23.5505205,-7.7359444,28.743,7.301
UGC11168,273.498408,13.275848,28.743,4.461
ESO375-034,157.0998795,-35.5297202,28.744,5.9
PGC017323,82.0588335,-16.1243472,28.75,5.597
PGC045966,198.411579,60.4704593,28.75,5.889
NGC2708,134.033592,-3.3601125,28.754,7.639
PGC049919,210.3168435,54.4187279,28.759,5.55
ESO513-028,228.6336765,-23.1139792,28.76,5.831
IC2584,157.464606,-34.911622,28.767,5.91
PGC3258099,155.85045,-6.004,28.767,6.74
ESO541-005,14.8263255,-20.5790855,28.773,7.972
PGC034952,170.780466,30.4785739,28.778,6.956
PGC055944,236.274861,35.890666,28.781,5.352
ESO510-026,209.3979135,-25.7913846,28.784,5.736
PGC2501446,212.2527255,55.4202224,28.784,5.681
UGC03691,107.005233,15.1783198,28.784,5.701
UGC08880,209.297826,50.4357638,28.784,5.327
UGC07844,190.2086265,73.7189281,28.785,6.986
SDSSJ121217.56+571123.0,183.073128,57.1897736,28.786,5.904
UGC09245,216.361953,56.3201863,28.791,5.696
ESO441-004,181.931784,-29.1996091,28.794,5.257
SDSSJ124042.09+054856.1,190.175607,5.8151519,28.795,6.021
SDSSJ115915.29+030157.9,179.8136096,3.0327644,28.795,6.568
NGC5687,218.7182535,54.4757598,28.8,1.86
PGC011573,46.087155,-6.9963217,28.802,5.867
ESO580-005,219.5664705,-22.3244909,28.808,5.93
PGC132565,345.3124995,-35.7338567,28.814,7.129
PGC2501589,182.1174765,55.4238693,28.824,5.812
PGC1835227,158.088882,28.4201784,28.831,7.967
UGC05898,161.959698,33.7286644,28.834,7.693
ESO572-025,179.3669175,-19.6239289,28.835,5.968
PGC032906,164.1996435,31.0903558,28.835,7.656
UGC04648,133.399401,45.3355237,28.841,6.28
PGC028916,150.01956,45.5198838,28.843,7.058
ESO372-010,138.6170355,-33.9558119,28.862,7.174
NGC3547,167.4830025,10.7208373,28.877,7.656
PGC083925,199.383162,-15.8804732,28.877,5.421
PGC006190,25.11588,-5.5203074,28.88,7.193
ESO482-005,53.258958,-24.1327778,28.892,7.286
ESO580-018,221.3573445,-20.6856483,28.896,6.235
